ageCat,gender,code,count
<5,,E92000001,3346727
<5,,N92000002,118445
<5,,S92000003,276862
<5,,W92000004,168703
5-17,,E92000001,8607891
5-17,,N92000002,323794
5-17,,S92000003,751936
5-17,,W92000004,461082
18-29,,E92000001,8615247
18-29,,N92000002,278585
18-29,,S92000003,854471
18-29,,W92000004,485909
30-39,,E92000001,7505080
30-39,,N92000002,251408
30-39,,S92000003,709255
30-39,,W92000004,371851
40-49,,E92000001,7189826
40-49,,N92000002,241256
40-49,,S92000003,691809
40-49,,W92000004,375526
50-59,,E92000001,7488780
50-59,,N92000002,258471
50-59,,S92000003,791347
50-59,,W92000004,433915
60-69,,E92000001,5866967
60-69,,N92000002,200016
60-69,,S92000003,636719
60-69,,W92000004,373835
70+,,E92000001,7356660
70+,,N92000002,229881
70+,,S92000003,725701
70+,,W92000004,467810
,,,
,,,66455765